,Text,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
0,percent of american support universal background check for gun purchase,0.0,0.0,1.0,2.0,1.0,10.0,10.0,4.0,6.0,0.0,2.0,0.0,2.666666666666667
1,last year wa one of the deadliest year ever for law enforcement officer,0.0,0.0,0.0,0.0,1.0,12.0,13.0,10.0,2.0,1.0,0.0,0.0,0.0
2,bernie sanderss plan is to raise your tax to percent,0.0,0.0,0.5,2.0,2.0,9.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0
3,voter id is supported by an overwhelming majority of nyers from all across the state walk of life political party,0.0,0.0,0.0,0.0,5.0,19.0,20.0,16.0,3.0,1.0,0.0,1.0,2.0
4,say barack obama robbed medicare of  billion to pay for obamacare,0.0,0.0,0.5,3.0,5.0,12.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0
5,video say covid vaccine are weapon of mass destruction that could wipe out the human race,0.0,0.0,1.5,2.0,6.0,16.0,16.0,14.0,1.0,1.0,0.0,1.0,2.0
6,say jeff reardon cut elementary school music class art instruction teaching position basketball and volleyball program and he voted to raise school lunch price,0.0,0.0,0.0,0.0,3.0,22.0,24.0,16.0,7.0,1.0,0.0,1.0,2.0
7,one in three woman is sexually assaulted on the dangerous journey north,0.0,0.0,0.0,0.0,1.0,12.0,12.0,8.0,4.0,0.0,0.0,1.0,1.0
8,it actually the safest time to fly,0.0,0.0,0.0,0.0,1.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,2.0
9,we know dangerous criminal can slip through immigration at airport just like ours yet joe donnelly stood right here with the radical left against all effort to secure our most vulnerable entry point,0.0,0.0,0.0,0.0,4.0,33.0,33.0,24.0,8.0,1.0,6.0,4.0,17.666666666666664
10,undocumented immigrant commit less crime than the native born,0.0,0.0,0.0,0.0,1.0,9.0,9.0,7.0,1.0,1.0,0.0,3.0,3.0
11,say politifact listed governor scott walker of wisconsin a the governor who told the most lie and our own untruthful governor chris christie made it into politifacts top five of lie  en governor,0.0,0.0,1.5,0.0,14.0,28.0,34.0,25.0,8.0,1.0,1.0,3.0,7.333333333333334
12,guantanamo ha never been a key component of isi or alqaida propaganda,0.0,0.0,0.5,0.0,6.0,12.0,12.0,8.0,4.0,0.0,0.0,1.0,3.0
13,video of hunter biden at the white house wa taken on the same day they found cocaine,0.0,0.0,0.5,0.0,5.0,16.0,17.0,16.0,1.0,0.0,1.0,0.0,1.0
14,the president proposed budget will help reduce the deficit by  billion over the next decade to the lowest level since dwight eisenhower wa president,0.0,0.0,0.5,3.0,3.0,21.0,25.0,19.0,6.0,0.0,2.0,0.0,3.0
15,the mccain campaign is roughly in the position where vice president gore wa running against president bush one week before the election of,0.0,0.0,0.0,4.0,8.0,20.0,23.0,15.0,8.0,0.0,0.0,2.0,4.0
16,the proposed transportation bill could be the largest tax increase in georgia history,0.0,0.0,0.5,0.0,2.0,12.0,13.0,7.0,5.0,1.0,0.0,0.0,1.0
