id,label,prediction,statement
21750,0,0,"Three doctors from the same hospital 'die suddenly' in the same week,"" after the hospital mandated a fourth COVID-19 vaccine for employees."
18173,0,0,Say Joe Biden is a pedophile.
22673,0,0,A photo shows President Joe Biden and Ukrainian President Volodymyr Zelenskyy holding hands.
9897,0,0,"It will cost $50,000 per enrollee in Obamacare over the next 10 years."
3855,1,0,"The Federal Register - which houses all Washington regulations - is 34,000 pages in length and weighs in at more than 340 pounds."
2884,1,0,"Following the 2009 session,"" Texas House Speaker Joe Straus ""was acknowledged and 'thanked' for his 'tireless efforts' by Planned Parenthood, the nation's premier abortion provider."
18102,0,0,"America was the ONLY country that ended"" slavery"
4693,0,0,"Says Wisconsin Gov. Scott Walker is making voting more difficult by closing Department of Motor Vehicles offices where ""low-income voters"" live."
13366,1,0,"Says if the AHCA replaces Obamacare it will ""significantly reduce insurance premiums in"" North Carolina."
1601,1,1,"Republican challenger Bill Flores ""has never once voted in a general election in our district."
22211,0,0,"Facebook changed its name because it is a ""dead entity"" whose assets were seized."
415,1,1,"Hillary Clinton has taken over $800,000 from lobbyists."
16869,0,0,Says an image shows a satellite view of fires in Australia.
11813,0,0,More businesses went out of business last year than were started for the first time in our history.
8925,1,1,"Brazil built a $300 million stadium in the Amazon rainforest that ""is only going to be used for four World Cup games,"" and there's no team ""that can fill it afterwards."
3640,1,0,"The Democratic health care law ""added 12 years of solvency to Medicare."
10851,0,0,"Says Bernie Sanders is going to ""tax you people at 90 percent."
18318,0,0,"Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement."
9307,1,1,"There have been at least 100 shootings each year [Angel Taveras] has been mayor"" of Providence."
5636,1,0,Says Obama broke his promise to help homeowners facing foreclosure.
16813,0,0,Yesterday Virginia announced the end of youth hunting!
21520,0,0,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.
5803,0,0,"Says ""a lip-reading instructor at the River School, a Washington, D.C., school for the deaf"" has determined that during 9/11 ceremonies, Michelle Obama said, ""All this for a damn flag."
5298,0,0,The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.
22416,0,0,"On the day of the Dec. 6 runoff, ""armed groups of Black Panthers"" were ""reportedly patrolling certain voting locations"" in Georgia."
10705,0,0,"After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped."
13697,0,0,Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!
1679,0,0,"Taxpayer-funded benefits to illegals"" in California are ""a skyrocketing cost under Obamacare."
16187,1,0,"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas."
4763,0,0,Rhode Island is leading our nation in foreclosures.
1038,1,0,"The health care reform plan being proposed in Congress would mean ""big tax increases."
17641,0,0,"Says Dr. Anthony Fauci's name appears on ""4 U.S. patents for a key glycoprotein"" used to ""create the current COVID-19 epidemic."
6710,1,0,Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.
4017,0,0,This is the first time in the history that we've had the raising of a debt limit also with spending cuts.
8765,0,0,A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.
1633,1,0,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.
18798,0,0,"Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!"
9658,1,0,America's least-trusted news sources are also its most popular.
12046,0,1,"In 2009, pre-Hillary, ISIS was not even on the map."
2929,0,0,"The governor has made a ""commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back."
23353,0,0,There have been more illegal encounters under Biden than the previous two administrations combined.
6617,1,0,"We borrow $4 billion every single day, much of it from China."
590,1,0,"First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge."
2400,1,0,"Rand Paul ""wants us to pay $2,000 just to get Medicare."
15484,0,0,"Says Hillary Clinton sold 20 percent of America's uranium to Russia and then ""the Russian government gave $145 million to the Clinton Foundation."" Former FBI Director and special counsel Robert Mueller ""delivered it."
14498,1,1,"Since 1999, firearm deaths in Ohio have risen 58 percent."
23195,0,0,The Titan submersible was found June 21 with all five passengers alive.
13650,1,0,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors."
3554,0,0,The people of Rhode Island don't want same-sex marriage.
1925,0,1,"Some city of Atlanta employees ""have not had raises in eight years."
15685,0,0,"Quotes Mike Pence as saying that people with pre-existing conditions need ""more Jesus care,"" not health care."
9644,1,0,We have the third-lowest minimum wage … of developed countries.
13767,1,0,"Just in our first six months in office, Missouri moved up the rankings nine places ... of the best states to do business."
955,0,0,"Under a public health care option, 120 million Americans will ""lose what they now get from private companies and be forced onto the government-run rolls as businesses decide it is more cost-effective for them to drop coverage."
22066,1,0,"Iowans are paying $5,000 extra for everyday goods under Biden and Axne's inflation."
17282,1,0,You had the last two administrations deport twice as many people as we deported — twice as many.
2053,0,1,"[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia."
15843,0,0,Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.
12245,1,0,"Under Hillary Clinton's plan ""illegal immigrants convicted of committing crimes get to stay."
18030,0,0,Old C-SPAN footage of Joe Biden introducing man in blackface.
14558,1,0,"I am the only one onstage who has never voted to raise your taxes. These two, each, a billion dollars worth of votes to raise your taxes."
12414,1,1,"Welcome to #Houston, the most #diverse city in #America."
480,1,0,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate."
5854,1,0,"The United States has ""the best health care delivery system in the world."
13159,1,0,"Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent."
22444,0,0,Grant Wahl died because of the COVID-19 vaccine.
1868,0,0,"In Rick Perry's Texas, the governor threatens to leave, to secede from the greatest country in the"" world."
4077,1,0,"Says that voter identification laws ""keep poor people from voting, minorities from voting, the elderly from voting, students from voting."
22820,1,0,"Former President Donald Trump ""instructed all the governors to shut down"" because of the COVID-19 pandemic."
4408,1,0,Says Rick Perry increased spending in Texas by more than 50 percent.
5542,0,0,"Says challenger Dominic Chavez is a ""Rick Perry Republican"" lobbyist."
19452,0,0,"Pelosi's $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!"
15258,1,0,"The Postal Service only gives tribal residents PO boxes. The Republican-controlled Supreme Court just said it's totally okay for North Dakota to demand that ONLY residents with street addresses can vote. Native Americans were the last to get the right to vote, and now they are the first to lose it."
1907,1,0,"Most"" of the Bush tax cuts went to people ""in the top 3 percent of this country."
17170,1,0,"Fact: Mike Bloomberg spent $12 million to re-elect a Senate Republican (Toomey) in 2016. Toomey beat the Dem (McGinty) by 1.5 points. If McGinty had won, Ds would have controlled the Senate after Doug Jones won and could have blocked Kavanaugh from the Supreme Court."
4459,0,0,Says there's $4 billion in private investment along the streetcar.
12451,0,0,"Says Hillary Clinton ""wants to bring in thousands of refugees to America from all around the world without any kind of security screening."
14729,1,1,"After Texas cut"" its ""two-year family planning budget by $73 million, one in four clinics closed their doors."
2819,0,0,"Says Transportation Secretary Ray LaHood will ""force you to stop using your cell phone"" while driving."
15958,1,0,"Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850..."
11704,0,0,"Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done."
21430,0,0,"A recent photo shows the ""Russian Orthodox Church blessing a rocket called Satan."
7714,1,0,"Says under Mayor Cory Booker, Newark has seen ""violent crime up five years in a row, murder up five years in a row."
14882,1,1,"Says Judge Brett Kavanaugh ""ruled that the Consumer Financial Protection Bureau was unconstitutional (reversed by full Circuit Court)."
15318,0,0,"We have the most progressive tax system in the country, right here in Vermont."
5780,0,0,"Most of Ted Cruz's money comes from Washington, from outside the state of Texas."
13648,0,0,"The border is down 78 percent. Under past administrations, the border didn't go down -- it went up."
12750,0,0,Says Denzel Washington supports Donald Trump and speaks out against Barack Obama.
1307,1,0,"U.S. Sen. Kay Bailey Hutchison ""voted to continue Roe v. Wade."
15886,1,0,"In West Virginia, ""our students enter in at fourth grade the first time they're tested, 37th or 38th in the nation—which is not good, but it's not horrible. By the time they're in the 8th grade, they're 46th or 47th, and then upon 11th grade testing they're near last."
13198,0,0,"President Trump just told Paul Ryan, 'You're fired.'"
18141,0,0,"The Beirut bombing today was directly next to the Lebanon Central Bank, which is also owned by the most evil deep state family, the Rothschilds. There are no coincidences."
3633,1,0,Sometimes I was the only 'no' vote on the entire board.
4015,0,0,Harry Reid's plan is basically giving the president a blank check.
10936,1,1,There are more words in the IRS code than there are in the Bible.
16538,0,0,"Says a photo shows Beto O'Rourke ""in college drunk and pissing his pants."
2637,0,0,Half of children struck by cars near schools are hit by parents driving children to school.
17110,0,0,Violent crime rates increased in all but two Wisconsin cities between 2008 and 2017.
21389,0,0,"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated."
14229,0,0,"Says Paul Soglin took Madison backward -- ""businesses have left and murders have gone up."
7293,0,0,"Proposed gun control legislation ""will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database"" and make it ""nearly impossible"" to get a permit to carry a concealed weapon."
21010,0,0,A photo shows a Russian warplane under attack.
21826,0,0,"Leaked messages ""between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump's Mar-a-Lago estate."
7328,1,0,"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jersey's best teachers, and the most education funding ever."
13203,0,0,"Government orders South African firm ""to lay off 3,389 white employees."
10689,1,1,The State of Texas is funding … women's health services at historically high levels; they just increased their level another $50 million for the next two years.
779,0,0,Sen. Obama's campaign announced that he's choosing his cabinet.
20727,0,0,"A judge sealed ""all the evidence and proof of who helped Ghislaine Maxwell sex traffic children."
13622,0,0,"Cher ""is moving to Canada because of President Trump."
18041,0,0,Since Trump labeled ANTIFA a terrorist organization their rights were stripped by the Patriot Act which states if someone is labeled a terrorist they are not afforded due process.
2867,0,0,"When the Milwaukee County mental health facility is full, ""cops sit out there in their squad cars with a mentally ill patient""  and sometimes ""spend an entire shift out there doing that."
17636,0,0,"Barack Obama ""is the first ex-president to ever speak against his successor."
7885,0,0,"Every month, we get the reports from the Bureau of Labor Statistics that say even more people have given up looking for work."
14420,0,0,"In the Senate, (Mike) DeWine voted with Hillary Clinton to let illegal immigrants receive Social Security. And in Ohio, DeWine allowed illegal immigrants to receive driver's licenses."
8536,1,0,"The average family (is) now bringing home $4,000 less than they did just five years ago."
14840,0,0,"The servers of the Pakistani gentleman that worked on the DNC"" are ""missing."
1991,0,0,"Claims that Rep. Sanford Bishop votes similar to House Speaker Nancy Pelosi are ""inaccurate."
17723,0,0,40% of the initial small business funds didn't go to small businesses at all.
2981,0,0,Says government is a barrier to innovation and development.
2528,0,0,"Says Robert Hurt ""supports the tax loopholes that send American jobs overseas."
13639,0,0,"Business spirit is the highest it's ever been, according to polls."
20343,0,0,We do not have an approved (COVID) vaccine in America … the Pfizer vaccine available in the U.S. is not FDA approved.
23019,0,0,"Photo shows former President Donald Trump ""in the hood."
19357,0,0,Instagram has been limiting our posts so that no more than 7% of our friends see our posts.
11870,0,0,"Says delegates can't ""legally"" change the Republican National Convention rules to prevent Donald Trump's nomination."
12853,0,0,Our university campuses by federal law do not check the immigration status of their students just as our public schools don't.
6958,1,0,Says he and Mitt Romney agreed on tying minimum wage increases to inflation.
2811,1,0,"Says that in his first 17 months as president, the United States doubled its world-leading $500 million a year commitment to fighting global AIDS."
22476,0,0,"Says he has been to ""Afghanistan, Iraq and those areas"" twice as president."
7598,0,0,"Homicides against blacks have tripled"" since Florida's ""stand your ground"" law has been in existence."
12938,1,0,A poll just came out on my inauguration speech. … People loved it. Loved and liked.
4630,1,1,Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece.
12796,0,1,Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported.
4084,0,0,"Says he ""helped bring"" Uline company to Kenosha area, ""creating 800 local jobs."
712,1,1,"You know, we spent $3-million to study the DNA of bears in Montana."
7955,0,0,Wendy Davis opposes any limits on abortion.
14287,0,0,Breaking: four million Democrat votes just declared fraudulent.
7273,1,0,"Says state Senate leaders have accepted $142,400 in campaign contributions from dentists and pharmacists during the past two years."
722,1,1,"McCain ""said the other day that he would not meet potentially with the prime minister of Spain, because he . . . wasn't sure whether they were aligned with us."
21176,0,0,"Ketanji Brown Jackson ""believes in abortion on demand up to the moment of birth."
19221,1,0,"A Miracle! Only 23 Americans Tested Positive for Flu Last Week Compared to 14,657 Cases Reported Last Year at Same Time."
5093,1,1,"Says Republican U.S. Senate candidate Ted Cruz ""opposes the DREAM Act, which is supported by 85% of Latinos."
12532,1,0,"Says Paul Ryan ""is still endorsing Trump."
20182,0,0,"Says Donald Trump said, ""Do not be distracted by all this going on in Afghanistan. Always keep one eye on Washington D.C. A magician always distracts his audience."
15710,0,0,In 1963 Bernie Sanders was arrested for throwing eggs at black civil rights protestors.
1612,1,0,"We've got a 1,000 National Guard troop request that's been in front of this president for over a year and no response."
22826,0,0,Former President Donald Trump is actually another man wearing a Trump mask.
380,0,0,"The Jewish holiday Purim is ""their version of Halloween here."
11410,1,1,The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.
16545,0,0,Says the character Freddy Krueger was based on a real serial killer.
22229,1,0,Don Bolduc wants to cut trillions from Medicare and end Social Security.
17758,1,0,"Says researchers found a ""fabric that kills coronaviruses"
593,1,1,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.'
6455,0,0,"Gov. Nathan Deal ""has taken at least $15,600 from the (Koch brothers), their businesses, and their employees."
8215,1,0,This is the first time in Texas history -- and only the fourth time in United States history -- that two women are running for the top spots.
13552,0,0,"Spicer: ""Trump has the legal right to cancel SCOTUS because they serve at his pleasure"
4354,0,0,Republicans enacted the most drastic cuts to K-12 public schools of any state in the nation.
20544,1,0,Iowa ranks 45th in the U.S. for internet connectivity.
726,1,0,There are so many loopholes ... our businesses pay effectively one of the lowest tax rates in the world.
3800,1,0,"Says Miami-Dade mayoral candidate Julio Robaina ""has the highest salary among Florida mayors. More than $260,000."
6231,0,0,"When it comes to jobless workers, ""Mitt Romney says he likes to fire people."
14336,0,0,Says Delta offers a discount to Planned Parenthood.
6377,1,0,"Says ""you cannot implement Paul Ryan's plan without allowing for any increases in revenue."
1998,1,0,"Dave Aronberg ""was the first to demand that BP create a billion-dollar fund to pay for the devastation."
8879,1,0,Rhode Island has the highest dropout rate in New England at twenty-three percent.
1301,0,1,"With a stroke of a pen, the (U.S. Supreme Court) decided to overrule the 100-year-old ban on corporate expenditures."
18953,0,0,Says Joe Biden is wearing a foot boot to hide an ankle monitor.
19160,0,0,"Says Maxine Waters said Trump supporters are ""not welcome here"" and ""we must welcome everyone who crosses our borders."
19015,0,0,"An Austrian politician ""exposed the defectiveness of the government's Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19."
9553,0,0,"All four on Mount Rushmore, they were all independents at one critical point in their career."
4097,1,0,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.
13549,0,0,"Says the manager of a Checkers in Miami Gardens, Fla., killed 10 employees."
6121,0,0,Says House Republicans spent $50 million on 33 votes to repeal Obamacare.
23039,0,0,"Canadian Prime Minister Justin Trudeau posed improperly with South Korean National Assembly Speaker Kim Jin-pyo because he ""had a bit too much to drink."
7171,1,0,"Paul Ryan's budget ""keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits."
2163,1,0,"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office."
13884,0,0,"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we're reducing debt."
2169,0,0,"Charlie Crist's ""personal approval numbers are plummeting."
10475,1,1,"Says Hillary Clinton's ""campaign hasn't been clear about when she wiped her server of her work emails."
9510,0,0,"In the last year, Wisconsin ranked third in Midwest job growth."
15278,0,0,"Voting for ""any Democrat"" gets you ""socialism ... undefended open borders ... immediate tax increases ... 100 percent government-run health care ..."
7691,1,0,"Sen. Marco Rubio ""refuses to accept the basic science"" on climate change and is ""a climate change denier."
21226,0,0,"Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick."
22121,0,0,"Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin""."
8251,1,1,Federal law requires residents to participate in the U.S. government's American Community Survey.
7130,0,0,"An annual income of $500,000 ""in Manhattan, believe it or not, is middle class."
7755,0,0,"Says Obama ""exempted Congress and their staff from the full effect of the (health care) law."
19729,0,0,Says Benjamin Netanyahu gave a speech to Hamas leaders thanking them for uniting Israel.
18539,0,0,The government has released their initial plans to force a vaccine on everyone.
17764,0,0,The NAACP has endorsed me every time I've run.
22141,1,0,"When I was your governor, we reduced insurance rates by 10%."
15152,1,0,"Under Phil Bredesen, in sexual harassment cases, his administration chose ""to shred some of the documents so that women's voices would never be heard."
19874,0,0,"Says a 2010 Rockefeller Foundation report shows the COVID-19 pandemic and the international response were ""meticulously planned at least 10 years ago."
17490,1,1,Images show COVID-19 victims being buried in mass graves in New York City.
20307,0,1,"A funeral home used a truck to advertise the message ""Don't get vaccinated."
15289,1,0,"Says ""over 40 Republican leaders denounced"" Steve Watkins' campaign"
19361,0,1,The fastest-growing population in the United States is Hispanic.
3650,1,0,Says the Obama Administration has fulfilled all of Texas' requests for fire management assisting grants.
7549,0,0,I'm the only candidate for governor who's rolled out any policies so far.
21236,1,1,The price of insulin has been jacked up by Big Drug Corporations.
1464,0,0,"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases."
20476,0,0,"The migrant caravan from Tapachula, Mexico ""is the population of Minneapolis."
23069,0,0,"North Korean leader Kim Jong-un ""just ordered the evacuation of the capital city."
4221,1,0,"Michael Dukakis created jobs three times faster"" than Mitt Romney."
21473,0,0,The current monkeypox outbreak was planned by government and industry leaders.
2791,1,0,"Says Jim Renacci ran against the Washington establishment in the election, but is now ""hypocritically embracing it with big money, special interest fundraisers."
11924,1,0,"As Bernie Sanders said, Hillary Clinton 'voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.'"
1682,1,0,"California Republican gubernatorial hopeful Meg Whitman ""contributed to, and campaigned, for"" Democratic Sen. Barbara Boxer."
5439,0,0,"Ron Oakley's ""conservative leadership protected local taxpayers over government bureaucrats"" as the Water Management District's budget decreased by ""58 percent in the four years he served on the board."
5555,0,0,"Says Democratic recall opponent Tom Barrett is campaigning on ""lifting property tax"" limits."
11074,0,0,"The Milwaukee County bus system has ""among the highest fares in the nation."
11817,1,0,I've cut the budget of the (lieutenant governor's) office by more than half.
11761,1,0,"Says North Carolina Rep. Renee Ellmers was the only Republican to vote against ""an amendment to prioritize the deportation of sexual criminals who are illegal immigrants."
10852,1,1,We lose an average of 90 Americans every day because of guns.
18910,1,1,"The law governing the transition of presidential power ""doesn't require there to be an absolute winner. It says the 'apparent' winner."
3453,0,0,"For every 33 pregnant women that walk into a Planned Parenthood clinic, 32 receive an abortion."
17530,1,0,Covid-19 is now the leading cause of death in the United States.
19787,0,0,"943 innocent kids … are now injured or dead"" because of the COVID-19 vaccine."
10449,0,0,"After actions by Gov. Scott Walker and Republicans, Wisconsin ""is dead broke."
18741,0,0,Major decision protecting voting rights in Pa. Ballots received after Election Day will not be counted.
13541,0,0,I have seen crime increase in every major metropolitan area (in California) … Crime is on the rise in every major market.
17854,0,0,CNN lightened the photo of the man who drove into the protester last night in Seattle.
18014,0,0,"Wrong"" COVID-19 case count by Orlando Health ""explains the 'outbreak' in Florida."
4551,1,1,"Says Mitt Romney ""is committed to overturning Roe vs. Wade, and he supports such amendments that define a life as beginning at the moment of conception."
7016,1,1,"About two-thirds of all consumption is services. . . It was just the opposite"" when the sales tax was enacted in the '30s."
963,0,0,"Under the ""Cash for Clunkers"" program, ""all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500."
127,0,0,"The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen."
13951,0,0,Alabama's Crimson Tide was disqualified from national championship.
7224,0,0,"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval."
