,Text,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
0,a u budget fight loom republican flip their fiscal script,0.0,0.0,0.0,0.0,4.0,10.0,10.0,9.0,1.0,0.0,0.0,1.0,1.0
1,u military to accept transgender recruit on monday pentagon,0.0,0.0,0.0,0.0,4.0,9.0,9.0,5.0,3.0,1.0,1.0,0.0,1.0
2,senior u republican senator let mr mueller do his job,0.0,0.0,0.0,0.0,7.0,10.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0
3,fbi russia probe helped by australian diplomat tipoff nyt,0.0,0.0,0.0,0.0,8.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0
4,trump want postal service to charge much more for amazon shipment,0.0,0.0,0.0,0.0,4.0,11.0,11.0,9.0,2.0,0.0,2.0,0.0,5.0
5,white house congress prepare for talk on spending immigration,0.0,0.0,0.0,0.0,3.0,9.0,9.0,5.0,3.0,1.0,1.0,0.0,1.0
6,trump say russia probe will be fair but timeline unclear nyt,0.0,0.0,0.0,0.0,5.0,11.0,11.0,9.0,2.0,0.0,3.0,1.0,6.0
7,factbox trump on twitter dec  approval rating amazon,0.0,0.0,0.0,2.0,6.0,9.0,9.0,6.0,3.0,0.0,2.0,0.0,3.0
8,trump on twitter dec  global warming,0.0,0.0,0.0,2.0,5.0,7.0,7.0,5.0,2.0,0.0,1.0,0.0,2.0
9,alabama official to certify senatorelect jones today despite challenge cnn,0.0,0.0,0.0,0.0,6.0,10.0,10.0,4.0,5.0,1.0,0.0,2.0,3.0
10,jones certified u senate winner despite moore challenge,0.0,0.0,0.0,0.0,5.0,8.0,8.0,5.0,3.0,0.0,0.0,2.0,4.0
11,new york governor question the constitutionality of federal tax overhaul,0.0,0.0,0.0,0.0,2.0,10.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0
12,factbox trump on twitter dec  vanity fair hillary clinton,0.0,0.0,0.0,2.0,8.0,10.0,10.0,6.0,4.0,0.0,2.0,1.0,4.0
13,trump on twitter dec  trump iraq syria,0.0,0.0,0.0,2.0,6.0,7.0,8.0,7.0,1.0,0.0,2.0,0.0,4.0
14,man say he delivered manure to mnuchin to protest new u tax law,0.0,0.0,0.0,0.0,4.0,12.0,13.0,10.0,3.0,0.0,0.0,1.0,2.0
15,virginia official postpone lottery drawing to decide tied statehouse election,0.0,0.0,0.0,0.0,1.0,10.0,10.0,3.0,7.0,0.0,0.0,0.0,1.0
16,u lawmaker question businessman at trump tower meeting source,0.0,0.0,0.0,4.0,4.0,9.0,9.0,5.0,3.0,1.0,1.0,0.0,2.0
17,trump on twitter dec  hillary clinton tax cut bill,0.0,0.0,0.0,2.0,8.0,10.0,10.0,7.0,3.0,0.0,1.0,1.0,3.0
18,u appeal court reject challenge to trump voter fraud panel,0.0,0.0,0.0,0.0,3.0,10.0,10.0,9.0,1.0,0.0,3.0,3.0,9.0
19,treasury secretary mnuchin wa sent giftwrapped box of horse manure report,0.0,0.0,0.0,0.0,3.0,11.0,11.0,7.0,3.0,1.0,0.0,0.0,0.0
20,federal judge partially lift trump latest refugee restriction,0.0,0.0,0.0,0.0,2.0,8.0,8.0,4.0,3.0,1.0,1.0,1.0,3.0
21,exclusive u memo weakens guideline for protecting immigrant child in court,0.0,0.0,0.0,0.0,3.0,11.0,11.0,6.0,5.0,0.0,2.0,0.0,3.0
22,trump travel ban should not apply to people with strong u tie court,0.0,0.0,0.0,0.0,3.0,13.0,13.0,13.0,0.0,0.0,3.0,0.0,6.0
23,second court reject trump bid to stop transgender military recruit,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,2.0,1.0,2.0,1.0,6.0
24,failed vote to oust president shake up peru politics,0.0,0.0,0.0,0.0,2.0,9.0,9.0,7.0,2.0,0.0,0.0,1.0,1.0
25,trump sign tax government spending bill into law,0.0,0.0,0.0,0.0,1.0,8.0,8.0,6.0,2.0,0.0,1.0,0.0,2.0
26,company have up to a year for new u tax bill reporting sec,0.0,0.0,0.0,0.0,6.0,13.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0
27,trump on twitter dec  tax cut missile defense bill,0.0,0.0,0.0,2.0,5.0,10.0,10.0,7.0,3.0,0.0,2.0,1.0,4.0
28,mexico to review need for tax change after u reformdocument,0.0,0.0,0.0,0.0,3.0,10.0,10.0,9.0,0.0,1.0,0.0,0.6666666666666666,1.3333333333333333
29,senate leader mcconnell see a more collegial,0.0,0.0,0.0,4.0,3.0,7.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0
30,alabama to certify democrat jones winner of senate election,0.0,0.0,0.0,0.0,4.0,9.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0
31,mcconnell happier with trump tweet after tax victory,0.0,0.0,0.0,0.0,3.0,8.0,8.0,5.0,3.0,0.0,2.0,0.0,3.0
32,house panel asks trump extop aide bannon to testify bloomberg,0.0,0.0,0.0,0.0,4.0,10.0,10.0,8.0,2.0,0.0,1.0,0.0,2.0
33,callista gingrich becomes trump envoy to pope a difference mount,0.0,0.0,0.0,0.0,3.0,10.0,10.0,6.0,4.0,0.0,1.0,0.0,3.0
34,a republican aim to ride economy to election victory a warning from voter in key district,0.0,0.0,0.0,0.0,2.0,14.0,16.0,10.0,6.0,0.0,1.0,1.0,3.0
35,exclusive state department tell refugee agency to downsize u operation,0.0,0.0,0.0,0.0,5.0,10.0,10.0,5.0,5.0,0.0,1.0,0.0,1.0
36,congress vote to avert shutdown sends trump stopgap spending bill,0.0,0.0,0.0,0.0,2.0,10.0,10.0,6.0,4.0,0.0,1.0,0.0,2.0
37,factbox bigticket item at center of congress spending bill,0.0,0.0,0.0,0.0,3.0,9.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0
38,in victory for trump judge toss suit on foreign payment,0.0,0.0,0.0,0.0,2.0,10.0,10.0,7.0,3.0,0.0,3.0,0.0,4.0
39,senate shelf disaster aid bill until next month,0.0,0.0,0.0,0.0,1.0,8.0,8.0,7.0,1.0,0.0,0.0,1.0,2.0
40,trump on twitter dec  tax cut home sale,0.0,0.0,0.0,2.0,6.0,9.0,9.0,8.0,1.0,0.0,1.0,1.0,3.0
41,house widens ethic probe to include farenthold campaign work,0.0,0.0,0.0,0.0,2.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0
42,u court reject trump bid to stop transgender military recruit on jan,0.0,0.0,0.0,1.0,4.0,12.0,12.0,9.0,2.0,1.0,2.0,1.0,6.0
43,u house approves  billion for disaster aid,0.0,0.0,0.0,2.0,3.0,8.0,8.0,5.0,3.0,0.0,0.0,1.0,2.0
44,house democrat rally to protect special counsel mueller,0.0,0.0,0.0,0.0,5.0,8.0,8.0,3.0,5.0,0.0,3.0,0.0,4.0
45,second u judge block trump administration birth control rule,0.0,0.0,0.0,0.0,4.0,9.0,9.0,7.0,1.0,1.0,1.0,1.0,3.0
46,senator seek to stop expansion of airport facial scan,0.0,0.0,0.0,0.0,1.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0
47,u launch effort to reduce reliance on import or critical mineral,0.0,0.0,0.0,0.0,2.0,11.0,11.0,8.0,3.0,0.0,0.0,1.0,2.0
48,shortterm government funding disaster aid bill advance in house,0.0,0.0,0.0,0.0,2.0,9.0,9.0,4.0,5.0,0.0,0.0,1.0,2.0
49,spy chief pressure congress to renew expiring surveillance law,0.0,0.0,0.0,0.0,2.0,9.0,9.0,5.0,3.0,1.0,0.0,0.0,1.0
50,trump urge congress to pas shortterm spending bill,0.0,0.0,0.0,0.0,2.0,8.0,8.0,5.0,3.0,0.0,2.0,0.0,4.0
